id,country,name,type,main_category,second_category,third_category,unit_price,k_id,k_position,k_day_revenue,k_day_sales,k_revenue,k_revenue_history,k_revenue_growth_rate,k_sales,created_at,updated_at
1119becc-dc6a-4702-94ab-729ca8b2bac7,br,MAAT BRAND,BRAND,600024,859144,863624,61.71,7494217576942503411,6,18940.00,279.57,18940.00,{18940.00},1.00,279.57,2026-01-14 23:09:00.237199+00,2026-01-14 18:10:24.202825+00
24b21e53-a3f1-4842-a7e2-7e78dd387ca6,br,LEO BUY SHOP,BRAND,604579,871560,881672,10.33,7496304771145435977,5,10470.00,1440.00,10470.00,{10470.00},1.00,10470.00,2026-01-14 23:09:00.237199+00,2026-01-14 18:10:24.134549+00
472d6791-a35f-46b9-af46-dd3eb8de400d,br,Grupo On Line Editora,RETAILER,801928,927112,927624,5.06,7496254098081286629,7,17910.00,3230.00,17910.00,{17910.00},1.00,17910.00,2026-01-14 23:09:00.237199+00,2026-01-14 18:10:24.275132+00
4f4f79b1-9262-46eb-8db6-88a0aae7af34,br,LEGEND PARFUM PERFUMES,RETAILER,601450,856208,855952,30.31,7495948344494295918,9,10210.00,325.57,10210.00,{10210.00},2.00,10210.00,2026-01-14 23:09:00.237199+00,2026-01-14 18:10:24.404667+00
557bbf08-f021-4e6c-8bbc-468fa9da5e77,br,Barbour's Beauty,BRAND,601450,849160,601498,6.99,7496263243227367844,10,13630.00,2300.00,13630.00,{13630.00},3.00,13630.00,2026-01-14 23:09:00.237199+00,2026-01-14 18:10:24.474614+00
5d08d56c-7e51-4d0c-9a26-f245d4745262,br,Bodyaction,BRAND,700645,700646,700650,12.32,7496181808016558763,3,22760.00,2310.00,22760.00,{22760.00},4.00,22760.00,2026-01-14 23:09:00.237199+00,2026-01-14 18:10:23.975968+00
a449b8bb-ca70-4bf7-baf5-7fa4057bf60d,br,TomiMitoo,RETAILER,824584,902408,601439,20.27,7496164482025556644,2,28350.00,1450.00,28350.00,{28350.00},4.00,28350.00,2026-01-14 23:09:00.237199+00,2026-01-14 18:10:23.903083+00
d3fa9c01-c15d-4368-b8bc-f285b6030e05,br,DAFUSHOP BRASIL,RETAILER,601739,849416,912392,9.55,7496146431269964474,4,10000.00,1280.00,10000.00,{10000.00},5.00,10000.00,2026-01-14 23:09:00.237199+00,2026-01-14 18:10:24.045116+00
dc6938bf-1bff-42b0-9674-28a9f325787c,br,Always Fit Suplementos,BRAND,700645,700646,700650,7.31,7496216394903488730,1,52340.00,7540.00,52340.00,{52340.00},5.00,52340.00,2026-01-14 23:09:00.237199+00,2026-01-14 18:10:23.822518+00
eb171a4f-a2aa-4366-a3bb-85f8b37ce374,br,BRASTOY BR,BRAND,604206,859656,861448,22.59,7494127626476422970,8,4000.00,180.71,4000.00,{4000.00},5.00,4000.00,2026-01-14 23:09:00.237199+00,2026-01-14 18:10:24.340276+00
